date,price
2017-01-02,1464.3128205128205
2017-01-03,1465.8634020618556
2017-01-04,1476.6878453038673
2017-01-05,1460.78125
2017-01-06,1455.1470588235295
2017-01-09,1475.779792746114
2017-01-10,1461.991847826087
2017-01-11,1463.8796791443851
2017-01-12,1490.157894736842
2017-01-13,1468.631868131868
2017-01-16,1452.1845238095239
2017-01-17,1479.4011976047905
2017-01-18,1486.2331288343557
2017-01-19,1455.1616766467066
2017-01-20,1474.2480620155038
2017-01-23,1467.607638888889
2017-01-24,1469.5055555555555
2017-01-25,1454.7022471910113
2017-01-26,1455.9655172413793
2017-01-27,1480.4313725490197
2017-01-30,1440.402857142857
2017-01-31,1450.062874251497
2017-02-01,1448.3190184049079
2017-02-02,1437.6724137931035
2017-02-03,1439.3522727272727
2017-02-06,1449.1889534883721
2017-02-07,1447.6920731707316
2017-02-08,1424.5718562874251
2017-02-09,1437.8419540229886
2017-02-10,1403.2409638554218
2017-02-13,1452.9494047619048
2017-02-14,1444.1222222222223
2017-02-15,1434.809375
2017-02-16,1451.8947368421052
2017-02-17,1433.648148148148
2017-02-20,1439.6992753623188
2017-02-21,1393.076923076923
2017-02-22,1424.7349397590363
2017-02-23,1470.4246575342465
2017-02-24,1437.6825396825398
2017-02-27,1439.0958083832336
2017-02-28,1419.0299401197606
2017-03-01,1399.7710843373493
2017-03-02,1461.6857142857143
2017-03-03,1395.112426035503
2017-03-06,1387.202380952381
2017-03-07,1401.458064516129
2017-03-08,1420.3834355828221
2017-03-09,1397.0939597315437
2017-03-10,1411.9271523178809
2017-03-13,1475.7142857142858
2017-03-14,1397.8629032258063
2017-03-15,1398.132530120482
2017-03-16,1403.3975155279504
2017-03-17,1417.8285714285714
2017-03-20,1436.5408805031448
2017-03-21,1405.9625850340135
2017-03-22,1432.641975308642
2017-03-23,1401.4481707317073
2017-03-24,1398.7101910828026
2017-03-27,1408.717741935484
2017-03-28,1419.0947368421052
2017-03-29,1399.9761904761904
2017-03-30,1415.7227722772277
2017-03-31,1437.4235294117648
2017-04-03,1451.679054054054
2017-04-04,1408.1176470588234
2017-04-05,1430.3153153153153
2017-04-06,1393.5555555555557
2017-04-07,1401.9645390070923
2017-04-10,1394.5243055555557
2017-04-11,1385.7636363636364
2017-04-12,1403.8034482758621
2017-04-13,1388.7770700636943
2017-04-14,1370.064935064935
2017-04-17,1396.918918918919
2017-04-18,1416.5369127516778
2017-04-19,1393.28
2017-04-20,1433.5646258503402
2017-04-21,1418.849315068493
2017-04-24,1377.7163120567375
2017-04-25,1391.0774647887324
2017-04-26,1391.3208955223881
2017-04-27,1396.8412162162163
2017-04-28,1379.1553398058252
2017-05-01,1359.438775510204
2017-05-02,1399.067901234568
2017-05-03,1415.2450331125829
2017-05-04,1382.0
2017-05-05,1423.421768707483
2017-05-08,1400.858064516129
2017-05-09,1404.6838235294117
2017-05-10,1415.6363636363637
2017-05-11,1417.1023622047244
2017-05-12,1381.7596899224807
2017-05-15,1409.4013605442176
2017-05-16,1367.8433333333332
2017-05-17,1375.4068322981366
2017-05-18,1368.3372781065088
2017-05-19,1350.3540372670807
2017-05-22,1374.5855263157894
2017-05-23,1366.8280254777071
2017-05-24,1342.4940476190477
2017-05-25,1363.8841059602648
2017-05-26,1354.4567901234568
2017-05-29,1336.030487804878
2017-05-30,1327.328947368421
2017-05-31,1313.4872611464968
2017-06-01,1348.6861313868612
2017-06-02,1334.513274336283
2017-06-05,1338.5742574257426
2017-06-06,1293.003787878788
2017-06-07,1288.2210884353742
2017-06-08,1295.6760563380283
2017-06-09,1298.724358974359
2017-06-12,1304.3190184049079
2017-06-13,1322.5877192982457
2017-06-14,1286.316091954023
2017-06-15,1283.6466666666668
2017-06-16,1294.736111111111
2017-06-19,1308.3682795698924
2017-06-20,1285.83908045977
2017-06-21,1295.4342857142858
2017-06-22,1272.1550802139038
2017-06-23,1294.0235294117647
2017-06-26,1244.8684210526317
2017-06-27,1315.1257225433526
2017-06-28,1287.9666666666667
2017-06-29,1275.820512820513
2017-06-30,1295.1101694915253
2017-07-03,1330.7934782608695
2017-07-04,1295.8192771084337
2017-07-05,1306.3587786259543
2017-07-06,1309.9130434782608
2017-07-07,1322.1818181818182
2017-07-10,1287.6573426573427
2017-07-11,1312.2043795620439
2017-07-12,1327.0137931034483
2017-07-13,1313.6711409395973
2017-07-14,1275.7054263565892
2017-07-17,1300.7672955974842
2017-07-18,1284.2710843373493
2017-07-19,1293.8029411764705
2017-07-20,1293.3544303797469
2017-07-21,1257.7407407407406
2017-07-24,1288.9071428571428
2017-07-25,1332.3191489361702
2017-07-26,1279.1328671328672
2017-07-27,1246.0
2017-07-28,1283.7913669064749
2017-07-31,1263.96992481203
2017-08-01,1285.020134228188
2017-08-02,1272.4237288135594
2017-08-03,1262.80421686747
2017-08-04,1261.997191011236
2017-08-07,1444.5588235294117
2017-08-08,1270.486577181208
2017-08-09,1268.3088235294117
2017-08-10,1265.8033707865168
2017-08-11,1258.0489130434783
2017-08-14,1255.3503649635036
2017-08-15,1226.892857142857
2017-08-16,1289.841059602649
2017-08-17,1284.4881889763778
2017-08-18,1282.6017441860465
2017-08-21,1267.2227272727273
2017-08-22,1311.251592356688
2017-08-23,1287.5426829268292
2017-08-24,1281.2787878787879
2017-08-25,1231.5192307692307
2017-08-28,1282.224852071006
2017-08-29,1317.9101123595506
2017-08-30,1278.5261437908496
2017-08-31,1274.7826086956522
2017-09-01,1297.989417989418
2017-09-04,1262.3645833333333
2017-09-05,1234.003448275862
2017-09-06,1262.8977272727273
2017-09-07,1267.2185792349726
2017-09-08,1232.4232804232804
2017-09-11,1261.3936170212767
2017-09-12,1228.0598930481285
2017-09-13,1221.3041237113403
2017-09-14,1208.7475247524753
2017-09-15,1209.975
2017-09-18,1201.088669950739
2017-09-19,1188.0815789473684
2017-09-20,1200.6736842105263
2017-09-21,1196.1580459770114
2017-09-22,1168.9625
2017-09-25,1178.0188679245282
2017-09-26,1184.7846889952152
2017-09-27,1170.7904761904763
2017-09-28,1179.6651162790697
2017-09-29,1153.008426966292
2017-10-02,1170.3394495412845
2017-10-03,1167.4414414414414
2017-10-04,1178.4644444444446
2017-10-05,1159.517766497462
2017-10-06,1173.5
2017-10-09,1184.4912280701753
2017-10-10,1168.6517857142858
2017-10-11,1159.9654471544716
2017-10-12,1158.5774058577406
2017-10-13,1176.686403508772
2017-10-16,1189.2311557788944
2017-10-17,1172.0055865921788
2017-10-18,1145.697247706422
2017-10-19,1148.4761904761904
2017-10-20,1188.0
2017-10-23,1160.6290322580646
2017-10-24,1152.9242424242425
2017-10-25,1174.5901639344263
2017-10-26,1171.0127659574468
2017-10-27,1152.9333333333334
