q,treated_mean_d_ineff,control_mean_d_ineff,mean_treated_minus_control,n_treated
2,0.03210341112853546,0.02059463757914486,0.011508773549390602,4
5,0.08609785506382742,0.014706309704082543,0.07139154535974487,4
10,0.12839042231456657,0.013768756085714201,0.11462166622885236,4
