treated,treat_date,n_mandi,share_pre,share_post,d_share,hl_pre,hl_post,d_hl,npairs_pre,npairs_post,control_mean_d_share,share_treated_minus_control,control_mean_d_hl,hl_treated_minus_control
chana,2021-08-16,8,0.9642857142857143,0.8571428571428571,-0.1071428571428572,1.8368265984122634,1.8348183140350345,-0.002008284377228886,28,28,0.01428571428571429,-0.1214285714285715,-0.07532699080449354,0.07331870642726465
mustard,2021-10-08,8,0.5357142857142857,0.5714285714285714,0.0357142857142857,0.9669505077154693,7.3728607944869395,6.40591028677147,28,28,0.04999999999999993,-0.014285714285714235,-0.31587921798327684,6.721789504754747
soybean,2021-12-20,8,1.0,0.8571428571428571,-0.1428571428571429,1.7074944342907807,1.4010429173224175,-0.30645151696836326,28,28,0.057142857142857106,-0.2,-0.1057193919299421,-0.20073212503842114
moong,2021-12-20,8,0.75,0.39285714285714285,-0.35714285714285715,2.7602313990248497,3.3331237857348217,0.572892386709972,28,28,0.057142857142857106,-0.41428571428571426,-0.1057193919299421,0.6786117786399141
