treated,treat_date,q,n_pre,n_post,vr_pre,vr_post,z2_pre,z2_post,ineff_pre,ineff_post,d_ineff,control_mean_d_ineff,treated_minus_control
chana,2021-08-16,2,1204,1091,0.664613166093085,0.6531170479564108,-6.657381199483121,-5.793366255560641,0.33538683390691504,0.3468829520435892,0.011496118136674172,0.01040703442507922,0.0010890837115949507
chana,2021-08-16,5,1204,1091,0.42262103118491073,0.379808196017705,-6.100192820563738,-5.622204201883896,0.5773789688150892,0.620191803982295,0.0428128351672058,0.003535587597811407,0.039277247569394394
chana,2021-08-16,10,1204,1091,0.3422126223672889,0.23962351168309257,-5.177618839094115,-5.1595486849899785,0.6577873776327111,0.7603764883169074,0.1025891106841963,0.004057128083818395,0.0985319826003779
mustard,2021-10-08,2,1243,1052,0.7729635060823374,0.6990499490329676,-5.422047607386563,-6.505673088116712,0.22703649391766256,0.3009500509670324,0.07391355704936986,0.010670431218719734,0.06324312583065013
mustard,2021-10-08,5,1243,1052,0.5970233854970302,0.49143001713365914,-4.932460089928778,-5.679798107821913,0.40297661450296984,0.5085699828663408,0.10559336836337097,0.006479672060409225,0.09911369630296174
mustard,2021-10-08,10,1243,1052,0.5899977453813683,0.4754660360315305,-3.5324646509131035,-4.121985031612525,0.4100022546186317,0.5245339639684695,0.1145317093498378,0.008415539165644637,0.10611617018419317
soybean,2021-12-20,2,1294,1001,0.7595686903512323,0.6850964890117708,-4.886362089052754,-5.03717471300898,0.2404313096487677,0.3149035109882292,0.07447220133946153,0.03065054233639024,0.04382165900307129
soybean,2021-12-20,5,1294,1001,0.7512108454924381,0.5299392833694413,-2.5388739953931694,-3.9511690585134396,0.2487891545075619,0.4700607166305587,0.2212715621229968,0.02440498957905477,0.19686657254394205
soybean,2021-12-20,10,1294,1001,0.8476789819102918,0.5225774703558779,-1.0757974845147185,-2.976433347234129,0.15232101808970822,0.47742252964412213,0.3251015115544139,0.021301178546696886,0.303800333007717
moong,2021-12-20,2,1294,1001,0.6018752268772852,0.633343458888649,-8.81475319257946,-6.802526392471919,0.39812477312271477,0.36665654111135104,-0.03146823201136373,0.03065054233639024,-0.062118774347753966
moong,2021-12-20,5,1294,1001,0.3241364347520033,0.3494227801502672,-7.823527408864124,-6.36597614629958,0.6758635652479967,0.6505772198497328,-0.02528634539826391,0.02440498957905477,-0.04969133497731868
moong,2021-12-20,10,1294,1001,0.2296497648535808,0.2583104071837626,-6.5670580094977185,-5.403477758991018,0.7703502351464192,0.7416895928162375,-0.02866064233018173,0.021301178546696886,-0.049961820876878615
