"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2026","20,965.00","20,965.00","20,965.00","20,965.00","","-1.64%"
"29-04-2026","21,315.00","21,315.00","21,315.00","21,315.00","0.22K","-3.99%"
"28-04-2026","22,200.00","22,200.00","22,200.00","22,200.00","0.00K","0.00%"
"27-04-2026","22,200.00","22,200.00","22,200.00","22,200.00","0.00K","0.00%"
"24-04-2026","22,200.00","22,200.00","22,200.00","22,200.00","","0.00%"
"23-04-2026","22,200.00","22,200.00","22,200.00","22,200.00","","0.00%"
"22-04-2026","22,200.00","22,200.00","22,200.00","22,200.00","0.01K","0.23%"
"21-04-2026","22,150.00","22,150.00","22,150.00","22,150.00","0.00K","0.87%"
"20-04-2026","21,960.00","22,000.00","22,125.00","21,860.00","0.07K","-0.88%"
"17-04-2026","22,155.00","22,095.00","22,380.00","22,090.00","0.02K","1.40%"
"16-04-2026","21,850.00","21,990.00","22,855.00","21,805.00","0.14K","-3.79%"
"15-04-2026","22,710.00","22,710.00","22,710.00","22,710.00","0.00K","2.74%"
"13-04-2026","22,105.00","22,105.00","22,105.00","22,105.00","","-0.92%"
"10-04-2026","22,310.00","22,310.00","22,310.00","22,310.00","","-1.28%"
"09-04-2026","22,600.00","22,600.00","22,600.00","22,600.00","","-1.61%"
"08-04-2026","22,970.00","22,970.00","22,970.00","22,970.00","","0.68%"
"07-04-2026","22,815.00","22,815.00","22,815.00","22,815.00","","-0.91%"
"06-04-2026","23,025.00","23,025.00","23,025.00","23,025.00","","0.66%"
"02-04-2026","22,875.00","22,875.00","22,875.00","22,875.00","","1.19%"
"01-04-2026","22,605.00","22,605.00","22,605.00","22,605.00","","0.40%"
"30-03-2026","22,515.00","22,515.00","22,515.00","22,515.00","","0.49%"
"27-03-2026","22,405.00","22,405.00","22,405.00","22,405.00","","-0.75%"
"25-03-2026","22,575.00","22,575.00","22,575.00","22,575.00","","0.49%"
"24-03-2026","22,465.00","22,465.00","22,465.00","22,465.00","","1.15%"
"23-03-2026","22,210.00","22,210.00","22,210.00","22,210.00","","-0.63%"
"20-03-2026","22,350.00","22,400.00","22,450.00","22,300.00","0.31K","-0.18%"
"19-03-2026","22,390.00","22,700.00","22,700.00","22,300.00","0.03K","-2.08%"
