"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2026","15,816.00","15,948.00","15,948.00","15,640.00","1.07K","-0.58%"
"29-04-2026","15,908.00","16,058.00","16,132.00","15,858.00","1.92K","0.05%"
"28-04-2026","15,900.00","15,752.00","16,100.00","15,752.00","1.14K","-0.23%"
"27-04-2026","15,936.00","16,020.00","16,360.00","15,776.00","1.15K","-1.63%"
"24-04-2026","16,200.00","16,350.00","16,450.00","16,122.00","1.14K","-0.56%"
"23-04-2026","16,292.00","16,000.00","16,360.00","15,812.00","1.50K","1.51%"
"22-04-2026","16,050.00","16,196.00","16,200.00","15,974.00","0.61K","-0.27%"
"21-04-2026","16,094.00","15,950.00","16,200.00","15,812.00","0.59K","-0.05%"
"20-04-2026","16,102.00","16,220.00","16,398.00","16,030.00","4.78K","-0.27%"
"17-04-2026","16,146.00","15,740.00","16,240.00","15,396.00","4.21K","2.91%"
"16-04-2026","15,690.00","15,890.00","16,060.00","15,640.00","4.75K","-0.73%"
"15-04-2026","15,806.00","15,510.00","16,148.00","15,510.00","6.41K","0.04%"
"13-04-2026","15,800.00","16,002.00","16,002.00","15,510.00","4.58K","-2.16%"
"10-04-2026","16,148.00","16,350.00","16,458.00","16,102.00","3.30K","-1.30%"
"09-04-2026","16,360.00","16,988.00","16,988.00","16,310.00","4.13K","-3.17%"
"08-04-2026","16,896.00","16,300.00","16,950.00","16,300.00","10.89K","4.48%"
"07-04-2026","16,172.00","16,338.00","16,398.00","16,050.00","3.10K","-0.22%"
"06-04-2026","16,208.00","15,860.00","16,240.00","15,680.00","4.22K","2.97%"
"02-04-2026","15,740.00","15,670.00","15,950.00","15,280.00","2.67K","1.33%"
"01-04-2026","15,534.00","15,828.00","16,000.00","15,434.00","2.59K","-0.44%"
"30-03-2026","15,602.00","14,820.00","15,680.00","14,820.00","2.59K","5.08%"
"27-03-2026","14,848.00","14,500.00","14,890.00","14,418.00","3.76K","2.41%"
"25-03-2026","14,498.00","14,370.00","14,600.00","14,264.00","1.77K","1.94%"
"24-03-2026","14,222.00","14,466.00","14,598.00","14,072.00","0.86K","-0.24%"
"23-03-2026","14,256.00","14,300.00","14,370.00","13,920.00","3.21K","-2.62%"
"20-03-2026","14,640.00","14,956.00","14,956.00","14,566.00","0.94K","-1.40%"
"19-03-2026","14,848.00","15,004.00","15,004.00","14,664.00","0.55K","-1.07%"
"18-03-2026","15,008.00","14,880.00","15,156.00","14,812.00","0.61K","0.85%"
"17-03-2026","14,882.00","14,862.00","14,996.00","14,764.00","0.39K","-0.23%"
"16-03-2026","14,916.00","14,868.00","15,076.00","14,752.00","0.66K","0.40%"
"13-03-2026","14,856.00","14,622.00","15,180.00","14,586.00","0.83K","1.09%"
"12-03-2026","14,696.00","14,654.00","14,800.00","14,530.00","1.02K","-0.19%"
"11-03-2026","14,724.00","14,910.00","14,936.00","14,644.00","1.22K","-0.96%"
"10-03-2026","14,866.00","14,662.00","15,348.00","14,566.00","1.61K","0.73%"
"09-03-2026","14,758.00","14,552.00","14,800.00","14,238.00","0.59K","-0.49%"
"06-03-2026","14,830.00","15,100.00","15,260.00","14,754.00","1.11K","-2.15%"
"05-03-2026","15,156.00","14,510.00","15,198.00","14,510.00","1.23K","2.98%"
"04-03-2026","14,718.00","14,466.00","14,780.00","14,320.00","0.94K","-2.11%"
"02-03-2026","15,036.00","15,110.00","15,310.00","14,990.00","1.67K","-3.70%"
"27-02-2026","15,614.00","15,632.00","15,882.00","15,328.00","0.47K","-0.65%"
"26-02-2026","15,716.00","16,368.00","16,370.00","15,630.00","0.81K","-2.23%"
"25-02-2026","16,074.00","16,020.00","16,658.00","15,960.00","1.46K","-0.88%"
"24-02-2026","16,216.00","15,368.00","16,280.00","15,200.00","0.86K","3.59%"
"23-02-2026","15,654.00","16,230.00","16,630.00","15,590.00","1.82K","-2.11%"
"20-02-2026","15,992.00","15,768.00","16,048.00","15,650.00","1.17K","2.46%"
"19-02-2026","15,608.00","15,690.00","15,730.00","15,350.00","0.25K","0.35%"
"18-02-2026","15,554.00","15,532.00","15,758.00","15,484.00","0.83K","2.23%"
"17-02-2026","15,214.00","14,772.00","15,496.00","14,700.00","1.19K","1.86%"
"16-02-2026","14,936.00","15,046.00","15,180.00","14,666.00","0.55K","-1.11%"
"13-02-2026","15,104.00","15,342.00","15,634.00","15,000.00","1.03K","-2.20%"
"12-02-2026","15,444.00","15,610.00","15,976.00","15,062.00","1.67K","-2.46%"
"11-02-2026","15,834.00","16,252.00","16,372.00","15,700.00","1.15K","-2.49%"
"10-02-2026","16,238.00","15,600.00","16,314.00","15,560.00","1.11K","3.51%"
"09-02-2026","15,688.00","15,822.00","16,020.00","15,600.00","0.80K","-2.60%"
"06-02-2026","16,106.00","16,780.00","16,780.00","15,886.00","1.02K","-4.24%"
"05-02-2026","16,820.00","16,802.00","16,850.00","16,700.00","0.13K","-0.53%"
"04-02-2026","16,910.00","16,510.00","17,000.00","16,510.00","0.26K","0.68%"
"03-02-2026","16,796.00","16,802.00","17,088.00","16,740.00","0.46K","0.83%"
"02-02-2026","16,658.00","16,060.00","16,740.00","16,060.00","0.33K","1.41%"
"01-02-2026","16,426.00","16,450.00","16,746.00","16,310.00","0.46K","-2.30%"
"30-01-2026","16,812.00","17,100.00","17,170.00","16,700.00","0.52K","-1.20%"
"29-01-2026","17,016.00","16,506.00","17,080.00","16,160.00","0.86K","2.10%"
"28-01-2026","16,666.00","16,952.00","17,200.00","16,532.00","0.77K","-2.96%"
"27-01-2026","17,174.00","17,306.00","17,398.00","16,882.00","0.77K","-2.11%"
"23-01-2026","17,544.00","18,300.00","18,300.00","17,154.00","0.78K","-1.81%"
"22-01-2026","17,868.00","17,926.00","17,976.00","17,646.00","0.53K","-0.68%"
"21-01-2026","17,990.00","18,140.00","18,150.00","17,760.00","0.26K","0.35%"
"20-01-2026","17,928.00","18,400.00","18,600.00","17,740.00","0.34K","-1.65%"
"19-01-2026","18,228.00","16,700.00","18,282.00","16,700.00","0.72K","5.68%"
"16-01-2026","17,248.00","16,950.00","17,480.00","16,742.00","0.50K","0.41%"
"14-01-2026","17,178.00","18,098.00","18,098.00","17,040.00","0.16K","-1.62%"
"13-01-2026","17,460.00","17,604.00","17,850.00","17,234.00","0.15K","-2.02%"
"12-01-2026","17,820.00","17,400.00","17,934.00","17,400.00","0.18K","1.77%"
"09-01-2026","17,510.00","18,100.00","18,100.00","17,060.00","0.17K","0.10%"
"08-01-2026","17,492.00","17,430.00","17,784.00","16,748.00","0.35K","-1.35%"
"07-01-2026","17,732.00","18,302.00","18,790.00","17,604.00","0.85K","-1.86%"
"06-01-2026","18,068.00","18,796.00","19,210.00","17,996.00","0.73K","-2.89%"
"05-01-2026","18,606.00","18,800.00","18,800.00","18,246.00","0.21K","1.30%"
"02-01-2026","18,368.00","18,230.00","18,744.00","18,200.00","0.55K","3.87%"
"01-01-2026","17,684.00","17,152.00","17,920.00","16,872.00","0.24K","2.62%"
"31-12-2025","17,232.00","17,350.00","17,400.00","17,070.00","0.20K","0.91%"
"30-12-2025","17,076.00","16,800.00","17,300.00","16,600.00","0.11K","0.33%"
"29-12-2025","17,020.00","17,648.00","17,648.00","16,900.00","0.10K","-0.26%"
"26-12-2025","17,064.00","16,652.00","17,314.00","16,652.00","0.58K","2.78%"
"24-12-2025","16,602.00","16,230.00","16,860.00","16,230.00","0.22K","-1.08%"
"23-12-2025","16,784.00","16,150.00","16,860.00","16,150.00","0.50K","4.70%"
"22-12-2025","16,030.00","15,528.00","16,158.00","15,528.00","0.23K","3.17%"
"19-12-2025","15,538.00","15,720.00","15,764.00","15,400.00","0.11K","-2.96%"
"18-12-2025","16,012.00","16,150.00","16,420.00","15,950.00","2.24K","-0.83%"
"17-12-2025","16,146.00","15,960.00","16,420.00","15,754.00","2.71K","1.80%"
"16-12-2025","15,860.00","16,162.00","16,162.00","15,716.00","3.92K","-1.87%"
"15-12-2025","16,162.00","16,490.00","16,590.00","15,950.00","3.58K","-1.04%"
"12-12-2025","16,332.00","16,112.00","16,396.00","15,900.00","3.69K","2.85%"
"11-12-2025","15,880.00","15,630.00","16,376.00","15,550.00","4.27K","2.32%"
"10-12-2025","15,520.00","14,950.00","15,630.00","14,820.00","6.44K","4.99%"
"09-12-2025","14,782.00","14,702.00","14,922.00","14,586.00","1.63K","0.46%"
"08-12-2025","14,714.00","14,726.00","14,770.00","14,602.00","0.89K","-0.33%"
"05-12-2025","14,762.00","14,752.00","14,980.00","14,706.00","1.35K","-0.24%"
"04-12-2025","14,798.00","14,600.00","14,830.00","14,484.00","1.40K","1.41%"
"03-12-2025","14,592.00","14,512.00","14,726.00","14,450.00","1.99K","-1.11%"
"02-12-2025","14,756.00","14,710.00","14,940.00","14,656.00","1.01K","-0.36%"
"01-12-2025","14,810.00","14,870.00","15,092.00","14,600.00","2.22K","0.01%"
"28-11-2025","14,808.00","14,090.00","14,812.00","14,050.00","6.50K","5.97%"
"27-11-2025","13,974.00","13,074.00","13,978.00","13,074.00","6.00K","5.96%"
"26-11-2025","13,188.00","12,970.00","13,282.00","12,822.00","1.48K","2.44%"
"25-11-2025","12,874.00","12,900.00","12,918.00","12,740.00","0.69K","-0.25%"
"24-11-2025","12,906.00","12,896.00","12,950.00","12,780.00","0.19K","1.43%"
"21-11-2025","12,724.00","12,712.00","12,950.00","12,690.00","1.22K","-1.20%"
"20-11-2025","12,878.00","13,034.00","13,078.00","12,820.00","0.31K","-0.86%"
"19-11-2025","12,990.00","12,600.00","13,050.00","12,574.00","0.91K","1.53%"
"18-11-2025","12,794.00","12,984.00","12,984.00","12,614.00","0.45K","-1.24%"
"17-11-2025","12,954.00","12,782.00","13,054.00","12,750.00","0.52K","0.62%"
"14-11-2025","12,874.00","13,332.00","13,332.00","12,532.00","1.77K","-3.41%"
"13-11-2025","13,328.00","13,270.00","13,420.00","13,250.00","0.31K","-0.28%"
"12-11-2025","13,366.00","13,380.00","13,540.00","13,310.00","0.68K","0.19%"
"11-11-2025","13,340.00","13,456.00","13,580.00","13,264.00","0.18K","-1.38%"
"10-11-2025","13,526.00","13,600.00","13,798.00","13,340.00","0.68K","1.61%"
"07-11-2025","13,312.00","13,106.00","13,390.00","12,840.00","0.58K","0.91%"
"06-11-2025","13,192.00","13,250.00","13,338.00","13,140.00","0.34K","0.08%"
"04-11-2025","13,182.00","13,160.00","13,358.00","13,128.00","0.49K","-0.45%"
"03-11-2025","13,242.00","13,248.00","13,370.00","13,124.00","0.49K","-1.05%"
"31-10-2025","13,382.00","13,540.00","13,540.00","13,114.00","0.48K","0.09%"
"30-10-2025","13,370.00","13,114.00","13,464.00","12,800.00","1.38K","3.26%"
"29-10-2025","12,948.00","12,964.00","13,130.00","12,836.00","0.36K","-0.95%"
"28-10-2025","13,072.00","13,150.00","13,590.00","13,022.00","1.11K","1.71%"
"27-10-2025","12,852.00","13,102.00","13,116.00","12,514.00","1.24K","-2.36%"
"24-10-2025","13,162.00","12,780.00","13,286.00","12,780.00","0.50K","0.63%"
"23-10-2025","13,080.00","13,700.00","13,700.00","13,048.00","1.30K","-5.76%"
"21-10-2025","13,880.00","13,900.00","14,358.00","13,524.00","0.30K","-8.27%"
"20-10-2025","15,132.00","14,928.00","15,200.00","14,796.00","2.29K","2.74%"
"17-10-2025","14,728.00","14,700.00","14,980.00","14,510.00","2.89K","0.44%"
"16-10-2025","14,664.00","13,990.00","14,720.00","13,990.00","4.87K","5.45%"
"15-10-2025","13,906.00","13,666.00","14,058.00","13,650.00","3.78K","0.51%"
