"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2026","20,445.00","20,755.00","20,755.00","20,400.00","1.48K","-1.14%"
"29-04-2026","20,680.00","20,370.00","20,850.00","20,240.00","1.86K","1.77%"
"28-04-2026","20,320.00","20,050.00","20,370.00","20,010.00","1.49K","1.14%"
"27-04-2026","20,090.00","20,860.00","20,925.00","19,965.00","4.86K","-3.69%"
"24-04-2026","20,860.00","21,235.00","21,245.00","20,800.00","1.58K","-1.46%"
"23-04-2026","21,170.00","21,100.00","21,250.00","20,970.00","1.63K","0.02%"
"22-04-2026","21,165.00","21,510.00","21,650.00","21,075.00","1.88K","-1.97%"
"21-04-2026","21,590.00","21,680.00","21,840.00","21,450.00","1.73K","-0.07%"
"20-04-2026","21,605.00","21,600.00","21,610.00","21,600.00","0.38K","-0.53%"
"17-04-2026","21,720.00","21,545.00","22,130.00","21,500.00","0.04K","2.02%"
"16-04-2026","21,290.00","21,310.00","21,600.00","21,260.00","2.03K","-1.23%"
"15-04-2026","21,555.00","21,680.00","21,815.00","21,500.00","1.85K","-0.05%"
"13-04-2026","21,565.00","21,705.00","21,745.00","21,400.00","2.04K","-0.76%"
"10-04-2026","21,730.00","21,980.00","22,040.00","21,525.00","1.31K","-1.67%"
"09-04-2026","22,100.00","22,370.00","22,370.00","22,000.00","1.32K","-1.34%"
"08-04-2026","22,400.00","22,590.00","22,870.00","22,285.00","2.34K","0.52%"
"07-04-2026","22,285.00","22,355.00","22,425.00","22,235.00","0.93K","-0.80%"
"06-04-2026","22,465.00","22,110.00","22,590.00","22,110.00","2.18K","0.63%"
"02-04-2026","22,325.00","22,010.00","22,500.00","22,000.00","2.13K","1.18%"
"01-04-2026","22,065.00","22,200.00","22,380.00","22,010.00","1.01K","0.23%"
"30-03-2026","22,015.00","21,900.00","22,100.00","21,730.00","1.54K","0.50%"
"27-03-2026","21,905.00","22,085.00","22,085.00","21,820.00","1.24K","-0.86%"
"25-03-2026","22,095.00","22,050.00","22,195.00","22,000.00","0.99K","0.68%"
"24-03-2026","21,945.00","21,860.00","22,100.00","21,720.00","1.09K","0.76%"
"23-03-2026","21,780.00","22,050.00","22,050.00","21,415.00","2.05K","-1.04%"
"20-03-2026","22,010.00","22,080.00","22,080.00","21,950.00","0.78K","-0.02%"
"19-03-2026","22,015.00","22,100.00","22,100.00","21,900.00","0.05K","-0.41%"
"18-03-2026","22,105.00","21,780.00","22,460.00","21,780.00","1.87K","2.34%"
"17-03-2026","21,600.00","21,535.00","21,725.00","21,035.00","1.48K","0.28%"
"16-03-2026","21,540.00","21,700.00","21,885.00","21,500.00","0.41K","-1.55%"
"13-03-2026","21,880.00","21,910.00","22,100.00","21,840.00","1.20K","-0.82%"
"12-03-2026","22,060.00","22,070.00","22,150.00","21,945.00","0.47K","-0.59%"
"11-03-2026","22,190.00","22,640.00","22,640.00","22,020.00","0.83K","-0.52%"
