q,banned,control,did_banned_minus_control
2,0.037213392621723795,0.03065054233639024,0.006562850285333554
5,0.09527595530144425,0.02440498957905477,0.07087096572238949
10,0.12891678734204026,0.021301178546696886,0.10761560879534338
