group,share_pre,share_post,d_share,hl_pre,hl_post
banned,0.8303571428571428,0.6696428571428571,-0.16071428571428575,1.8546830078953118,3.259995964631499
control,0.6357142857142858,0.6928571428571428,0.05714285714285709,1.8555297734772567,1.7498103815473143
did_banned_minus_control,0.194642857142857,-0.023214285714285743,-0.21785714285714286,-0.0008467655819448527,1.5101855830841848
