commodity,pre_alpha,pre_beta,pre_persist,pre_uncond_vol,post_alpha,post_beta,post_persist,post_uncond_vol
wheat,0.6808347846155304,3.067909013679704e-15,0.6808347846155335,20.461776943205205,0.4137256119212105,8.652575394453276e-11,0.4137256120077362,15.712272598683994
chana,0.4813250332549931,0.07221005856632977,0.5535350918213229,47.28061807189332,0.6772602154638928,0.015301599602409942,0.6925618150663028,45.67444000036219
guar,0.2643510727133941,0.6551183452710244,0.9194694179844185,73.8671066662124,0.999999987813596,2.2908512522510366e-09,0.9999999901044473,3909216.325982018
castor,0.4112931541771407,0.4573696279445212,0.8686627821216619,58.20291302800666,1.0,0.0,1.0,
turmeric,0.18056954145736115,0.802250254944188,0.9828197964015492,200.93820042357646,0.444560271433605,0.30175086320905076,0.7463111346426557,194.46958463096107
jeera,0.9696169483272328,0.030383051670326757,0.9999999999975595,38904128.838898845,0.3138081643995348,0.5044721956352856,0.8182803600348203,71.23222475198388
cotton,0.1612170175523177,0.8239756005915896,0.9851926181439072,35.790409575291456,0.30870562638724186,0.691294373612829,1.0000000000000708,
guarseed413,0.2906055844957901,0.7078268295960427,0.9984324140918328,209.99511279315018,0.4974407985369458,0.22095522829872918,0.7183960268356749,42.022650291292194
