Date,Price,Open,High,Low,Vol.,Change %,Open Interest,Contract Expiry,Days To Expiry,Roll Day
28-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,60,0
25-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,63,0
24-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,64,0
23-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,65,0
22-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,66,0
21-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,67,0
18-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,70,0
17-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,71,0
16-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,72,0
15-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,73,0
14-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,74,0
11-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,77,0
10-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,78,0
09-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,79,0
08-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,80,0
07-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,81,0
04-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,84,0
03-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,85,0
02-02-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,86,0
01-02-2022,1009.0,0.0,0.0,0.0,0,-12.47%,0,29Apr2022,87,1
31-01-2022,1152.7,0.0,0.0,0.0,0,0.00%,12,31Mar2022,59,0
28-01-2022,1152.7,1154.0,1155.0,1150.0,7,1.56%,12,31Mar2022,62,0
27-01-2022,1135.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,63,0
25-01-2022,1135.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,65,0
24-01-2022,1135.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,66,0
21-01-2022,1135.0,0.0,0.0,0.0,0,1.34%,19,31Mar2022,69,0
20-01-2022,1120.0,0.0,0.0,0.0,0,1.45%,19,31Mar2022,70,0
19-01-2022,1104.0,0.0,0.0,0.0,0,2.70%,19,31Mar2022,71,0
18-01-2022,1075.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,72,0
17-01-2022,1075.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,73,0
14-01-2022,1075.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,76,0
13-01-2022,1075.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,77,0
12-01-2022,1075.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,78,0
11-01-2022,1075.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,79,0
10-01-2022,1075.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,80,0
07-01-2022,1075.0,0.0,0.0,0.0,0,2.38%,19,31Mar2022,83,0
06-01-2022,1050.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,84,0
05-01-2022,1050.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,85,0
04-01-2022,1050.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,86,0
03-01-2022,1050.0,0.0,0.0,0.0,0,0.00%,19,31Mar2022,87,1
31-12-2021,1050.0,0.0,0.0,0.0,0,0.00%,429,28Feb2022,59,0
30-12-2021,1050.0,0.0,0.0,0.0,0,0.00%,429,28Feb2022,60,0
29-12-2021,1050.0,0.0,0.0,0.0,0,0.00%,429,28Feb2022,61,0
28-12-2021,1050.0,1050.0,1050.0,1050.0,2,0.27%,429,28Feb2022,62,0
27-12-2021,1047.2,0.0,0.0,0.0,0,0.00%,431,28Feb2022,63,0
24-12-2021,1047.2,1043.9,1050.0,1043.9,8,0.02%,431,28Feb2022,66,0
23-12-2021,1047.0,1047.0,1047.0,1047.0,2,0.00%,439,28Feb2022,67,0
22-12-2021,1047.0,0.0,0.0,0.0,0,0.00%,441,28Feb2022,68,0
21-12-2021,1047.0,1047.0,1047.0,1046.9,2,0.72%,441,28Feb2022,69,0
20-12-2021,1039.5,1029.0,1053.9,1028.6,10,-0.24%,443,28Feb2022,70,0
17-12-2021,1042.0,1043.0,1050.9,1038.0,131,-0.45%,453,28Feb2022,73,0
16-12-2021,1046.7,1039.2,1047.2,1036.8,43,1.74%,406,28Feb2022,74,0
15-12-2021,1028.8,1037.0,1037.0,1014.9,159,-2.68%,402,28Feb2022,75,0
14-12-2021,1057.1,1065.1,1066.8,1055.0,154,-1.09%,382,28Feb2022,76,0
13-12-2021,1068.7,1066.0,1072.5,1065.1,111,-0.05%,316,28Feb2022,77,0
