Date,Price,Open,High,Low,Vol.,Change %,Open Interest,Contract Expiry,Days To Expiry,Roll Day
11-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Aug2026,81,0
10-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Aug2026,82,0
09-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Aug2026,83,0
08-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Aug2026,84,0
05-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Aug2026,87,0
04-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Aug2026,88,0
03-06-2026,30600.0,0.0,0.0,0.0,0,-2.86%,0,31Aug2026,89,0
02-06-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Aug2026,90,0
01-06-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Aug2026,91,1
29-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,63,0
28-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,64,0
27-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,65,0
26-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,66,0
25-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,67,0
22-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,70,0
21-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,71,0
20-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,72,0
19-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,73,0
18-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,74,0
15-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,77,0
14-05-2026,31500.0,0.0,0.0,0.0,0,2.27%,0,31Jul2026,78,0
13-05-2026,30800.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,79,0
12-05-2026,30800.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,80,0
11-05-2026,30800.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,81,0
08-05-2026,30800.0,0.0,0.0,0.0,0,3.70%,0,31Jul2026,84,0
07-05-2026,29700.0,0.0,0.0,0.0,0,3.85%,0,31Jul2026,85,0
06-05-2026,28600.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,86,0
05-05-2026,28600.0,0.0,0.0,0.0,0,2.88%,0,31Jul2026,87,0
04-05-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,88,0
01-05-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,91,1
30-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,61,0
29-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,62,0
28-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,63,0
27-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,64,0
24-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,67,0
23-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,68,0
22-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,69,0
21-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,70,0
20-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,71,0
17-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,74,0
16-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,75,0
15-04-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,76,0
