Date,Price,Open,High,Low,Vol.,Change %,Open Interest,Contract Expiry,Days To Expiry,Roll Day
11-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,50,0
10-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,51,0
09-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,52,0
08-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,53,0
05-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,56,0
04-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,57,0
03-06-2026,30600.0,0.0,0.0,0.0,0,-2.86%,0,31Jul2026,58,0
02-06-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,59,0
01-06-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,31Jul2026,60,1
29-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,32,0
28-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,33,0
27-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,34,0
26-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,35,0
25-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,36,0
22-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,39,0
21-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,40,0
20-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,41,0
19-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,42,0
18-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,43,0
15-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,46,0
14-05-2026,31500.0,0.0,0.0,0.0,0,2.27%,0,30Jun2026,47,0
13-05-2026,30800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,48,0
12-05-2026,30800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,49,0
11-05-2026,30800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,50,0
08-05-2026,30800.0,0.0,0.0,0.0,0,3.70%,0,30Jun2026,53,0
07-05-2026,29700.0,0.0,0.0,0.0,0,3.85%,0,30Jun2026,54,0
06-05-2026,28600.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,55,0
05-05-2026,28600.0,0.0,0.0,0.0,0,2.88%,0,30Jun2026,56,0
04-05-2026,27800.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,57,0
01-05-2026,27800.0,0.0,0.0,0.0,0,-0.36%,0,30Jun2026,60,1
30-04-2026,27900.0,0.0,0.0,0.0,0,0.00%,0,29May2026,29,0
29-04-2026,27900.0,0.0,0.0,0.0,0,0.00%,0,29May2026,30,0
28-04-2026,27900.0,0.0,0.0,0.0,0,0.00%,0,29May2026,31,0
27-04-2026,27900.0,0.0,0.0,0.0,0,0.00%,0,29May2026,32,0
24-04-2026,27900.0,0.0,0.0,0.0,0,0.00%,0,29May2026,35,0
23-04-2026,27900.0,0.0,0.0,0.0,0,0.00%,0,29May2026,36,0
22-04-2026,27900.0,0.0,0.0,0.0,0,0.00%,0,29May2026,37,0
